COUNTRY,DATE,HOUR,CITY,ZONE,CONNECTED_RT,ORDERS,EARNINGS,PRECIPITATION_MM
Mexico,2024-03-01,1,Monterrey,Santiago,1,0,"56,3","0,0000"
Mexico,2024-03-01,2,Monterrey,Centro,4,2,"58,9","0,0000"
Mexico,2024-03-01,2,Monterrey,Mitras Centro,3,1,"57,0","0,0000"
Mexico,2024-03-01,2,Monterrey,Apodaca Centro,1,1,"49,9","0,0000"
Mexico,2024-03-01,2,Monterrey,Escobedo,1,1,"49,1","0,0000"
Mexico,2024-03-01,2,Monterrey,Carretera Nacional,1,0,"51,5","0,0000"
Mexico,2024-03-01,2,Monterrey,MTY_Apodaca_Huinalá,1,0,"56,1","0,0000"
Mexico,2024-03-01,2,Monterrey,San Nicolás,2,1,"53,0","0,0000"
Mexico,2024-03-01,2,Monterrey,Santa Catarina,2,1,"58,8","0,0000"
Mexico,2024-03-01,2,Monterrey,San Pedro,2,1,"54,4","0,0000"
Mexico,2024-03-01,2,Monterrey,Cumbres Poniente,2,1,"59,3","0,0000"
Mexico,2024-03-01,2,Monterrey,La Fe,2,1,"59,6","0,0000"
Mexico,2024-03-01,2,Monterrey,MTY_Guadalupe,2,1,"58,4","0,0000"
Mexico,2024-03-01,2,Monterrey,Independencia,2,1,"56,7","0,0000"
Mexico,2024-03-01,2,Monterrey,Santiago,1,0,"58,7","0,0000"
Mexico,2024-03-01,3,Monterrey,Centro,4,2,"57,9","0,0000"
Mexico,2024-03-01,3,Monterrey,Mitras Centro,2,1,"54,5","0,0000"
Mexico,2024-03-01,3,Monterrey,Apodaca Centro,2,1,"58,8","0,0000"
Mexico,2024-03-01,3,Monterrey,Escobedo,1,1,"49,4","0,0000"
Mexico,2024-03-01,3,Monterrey,Carretera Nacional,1,0,"49,3","0,0000"
Mexico,2024-03-01,3,Monterrey,MTY_Apodaca_Huinalá,1,0,"54,7","0,0000"
Mexico,2024-03-01,3,Monterrey,San Nicolás,2,1,"49,6","0,0000"
Mexico,2024-03-01,3,Monterrey,Santa Catarina,2,1,"59,7","0,0000"
Mexico,2024-03-01,3,Monterrey,San Pedro,2,1,"53,8","0,0000"
Mexico,2024-03-01,3,Monterrey,Cumbres Poniente,1,1,"50,9","0,0000"
Mexico,2024-03-01,3,Monterrey,La Fe,1,1,"56,3","0,0000"
Mexico,2024-03-01,3,Monterrey,MTY_Guadalupe,2,1,"55,7","0,0000"
Mexico,2024-03-01,3,Monterrey,Independencia,1,1,"49,2","0,0000"
Mexico,2024-03-01,3,Monterrey,Santiago,1,0,"50,1","0,0000"
Mexico,2024-03-01,4,Monterrey,Centro,3,1,"55,8","0,0000"
Mexico,2024-03-01,4,Monterrey,Mitras Centro,2,1,"54,5","0,0000"
Mexico,2024-03-01,4,Monterrey,Apodaca Centro,2,1,"55,4","0,0000"
Mexico,2024-03-01,4,Monterrey,Escobedo,1,1,"54,0","0,0000"
Mexico,2024-03-01,4,Monterrey,Carretera Nacional,1,0,"59,0","0,0000"
Mexico,2024-03-01,4,Monterrey,MTY_Apodaca_Huinalá,1,0,"49,8","0,0000"
Mexico,2024-03-01,4,Monterrey,San Nicolás,3,1,"56,7","0,0000"
Mexico,2024-03-01,4,Monterrey,Santa Catarina,1,1,"52,1","0,0000"
Mexico,2024-03-01,4,Monterrey,San Pedro,3,2,"57,5","0,0000"
Mexico,2024-03-01,4,Monterrey,Cumbres Poniente,2,1,"57,3","0,0000"
Mexico,2024-03-01,4,Monterrey,La Fe,1,1,"58,1","0,0000"
Mexico,2024-03-01,4,Monterrey,MTY_Guadalupe,3,1,"59,5","0,0000"
Mexico,2024-03-01,4,Monterrey,Independencia,2,1,"52,6","0,0000"
Mexico,2024-03-01,4,Monterrey,Santiago,1,0,"50,0","0,0000"
Mexico,2024-03-01,5,Monterrey,Centro,3,1,"52,9","0,0000"
Mexico,2024-03-01,5,Monterrey,Mitras Centro,2,1,"50,1","0,0000"
Mexico,2024-03-01,5,Monterrey,Apodaca Centro,2,1,"49,9","0,0000"
Mexico,2024-03-01,5,Monterrey,Escobedo,2,1,"59,4","0,0000"
Mexico,2024-03-01,5,Monterrey,Carretera Nacional,1,0,"57,5","0,0000"
Mexico,2024-03-01,5,Monterrey,MTY_Apodaca_Huinalá,1,0,"54,2","0,0000"
Mexico,2024-03-01,5,Monterrey,San Nicolás,3,1,"57,2","0,0000"
Mexico,2024-03-01,5,Monterrey,Santa Catarina,2,1,"58,6","0,0000"
Mexico,2024-03-01,5,Monterrey,San Pedro,2,2,"49,8","0,0000"
Mexico,2024-03-01,5,Monterrey,Cumbres Poniente,2,1,"56,7","0,0000"
Mexico,2024-03-01,5,Monterrey,La Fe,1,1,"49,5","0,0000"
Mexico,2024-03-01,5,Monterrey,MTY_Guadalupe,2,1,"55,8","0,0000"
Mexico,2024-03-01,5,Monterrey,Independencia,1,1,"55,4","0,0000"
Mexico,2024-03-01,5,Monterrey,Santiago,1,0,"58,0","0,0000"
Mexico,2024-03-01,6,Monterrey,Centro,3,2,"53,6","0,0000"
Mexico,2024-03-01,6,Monterrey,Mitras Centro,2,1,"59,9","0,0000"
Mexico,2024-03-01,6,Monterrey,Apodaca Centro,2,1,"58,3","0,0000"
Mexico,2024-03-01,6,Monterrey,Escobedo,1,1,"49,6","0,0000"
Mexico,2024-03-01,6,Monterrey,Carretera Nacional,1,0,"59,4","0,0000"
Mexico,2024-03-01,6,Monterrey,MTY_Apodaca_Huinalá,1,0,"59,5","0,0000"
Mexico,2024-03-01,6,Monterrey,San Nicolás,2,1,"52,9","0,0000"
Mexico,2024-03-01,6,Monterrey,Santa Catarina,2,1,"54,7","0,0000"
Mexico,2024-03-01,6,Monterrey,San Pedro,2,1,"53,4","0,0000"
Mexico,2024-03-01,6,Monterrey,Cumbres Poniente,2,1,"56,7","0,0000"
Mexico,2024-03-01,6,Monterrey,La Fe,1,1,"53,8","0,0000"
Mexico,2024-03-01,6,Monterrey,MTY_Guadalupe,2,1,"53,4","0,0000"
Mexico,2024-03-01,6,Monterrey,Independencia,1,1,"51,8","0,0000"
Mexico,2024-03-01,6,Monterrey,Santiago,1,0,"56,0","0,0000"
Mexico,2024-03-01,7,Monterrey,Centro,10,2,"51,0","0,0000"
Mexico,2024-03-01,7,Monterrey,Mitras Centro,7,1,"50,9","0,0000"
Mexico,2024-03-01,7,Monterrey,Apodaca Centro,5,1,"50,9","0,0000"
Mexico,2024-03-01,7,Monterrey,Escobedo,5,1,"53,0","0,0000"
Mexico,2024-03-01,7,Monterrey,Carretera Nacional,5,0,"58,6","0,0000"
Mexico,2024-03-01,7,Monterrey,MTY_Apodaca_Huinalá,3,0,"57,2","0,0000"
Mexico,2024-03-01,7,Monterrey,San Nicolás,9,1,"55,8","0,0000"
Mexico,2024-03-01,7,Monterrey,Santa Catarina,7,1,"58,8","0,0000"
Mexico,2024-03-01,7,Monterrey,San Pedro,9,1,"54,9","0,0000"
Mexico,2024-03-01,7,Monterrey,Cumbres Poniente,6,1,"52,5","0,0000"
Mexico,2024-03-01,7,Monterrey,La Fe,6,0,"57,7","0,0000"
Mexico,2024-03-01,7,Monterrey,MTY_Guadalupe,9,1,"57,2","0,0000"
Mexico,2024-03-01,7,Monterrey,Independencia,7,1,"56,1","0,0000"
Mexico,2024-03-01,7,Monterrey,Santiago,3,0,"51,6","0,0000"
Mexico,2024-03-01,8,Monterrey,Centro,10,8,"52,1","0,0000"
Mexico,2024-03-01,8,Monterrey,Mitras Centro,9,5,"53,5","0,0000"
Mexico,2024-03-01,8,Monterrey,Apodaca Centro,8,4,"58,5","0,0000"
Mexico,2024-03-01,8,Monterrey,Escobedo,6,3,"59,2","0,0000"
Mexico,2024-03-01,8,Monterrey,Carretera Nacional,4,3,"51,1","0,0000"
Mexico,2024-03-01,8,Monterrey,MTY_Apodaca_Huinalá,3,2,"50,3","0,0000"
Mexico,2024-03-01,8,Monterrey,San Nicolás,9,5,"54,3","0,0000"
Mexico,2024-03-01,8,Monterrey,Santa Catarina,6,3,"49,7","0,0000"
Mexico,2024-03-01,8,Monterrey,San Pedro,11,6,"56,5","0,0000"
Mexico,2024-03-01,8,Monterrey,Cumbres Poniente,8,5,"52,8","0,0000"
Mexico,2024-03-01,8,Monterrey,La Fe,4,4,"51,0","0,0000"
Mexico,2024-03-01,8,Monterrey,MTY_Guadalupe,8,5,"50,5","0,0000"
Mexico,2024-03-01,8,Monterrey,Independencia,7,4,"58,0","0,0000"
Mexico,2024-03-01,8,Monterrey,Santiago,4,2,"53,3","0,0000"
Mexico,2024-03-01,9,Monterrey,Centro,13,7,"57,2","0,0000"
Mexico,2024-03-01,9,Monterrey,Mitras Centro,9,5,"55,0","0,0000"
Mexico,2024-03-01,9,Monterrey,Apodaca Centro,6,4,"50,5","0,0000"
Mexico,2024-03-01,9,Monterrey,Escobedo,6,3,"57,7","0,0000"
Mexico,2024-03-01,9,Monterrey,Carretera Nacional,4,3,"49,4","0,0000"
Mexico,2024-03-01,9,Monterrey,MTY_Apodaca_Huinalá,3,2,"58,0","0,0000"
Mexico,2024-03-01,9,Monterrey,San Nicolás,9,5,"57,8","0,0000"
Mexico,2024-03-01,9,Monterrey,Santa Catarina,7,4,"56,1","0,0000"
Mexico,2024-03-01,9,Monterrey,San Pedro,10,6,"51,0","0,0000"
Mexico,2024-03-01,9,Monterrey,Cumbres Poniente,8,4,"59,4","0,0000"
Mexico,2024-03-01,9,Monterrey,La Fe,5,4,"49,2","0,0000"
Mexico,2024-03-01,9,Monterrey,MTY_Guadalupe,10,5,"59,1","0,0000"
Mexico,2024-03-01,9,Monterrey,Independencia,7,4,"53,7","0,0000"
Mexico,2024-03-01,9,Monterrey,Santiago,3,2,"50,2","0,0000"
Mexico,2024-03-01,10,Monterrey,Centro,14,17,"53,4","0,0000"
Mexico,2024-03-01,10,Monterrey,Mitras Centro,13,12,"54,9","0,0000"
Mexico,2024-03-01,10,Monterrey,Apodaca Centro,9,10,"54,0","0,0000"
Mexico,2024-03-01,10,Monterrey,Escobedo,8,9,"54,5","0,0000"
Mexico,2024-03-01,10,Monterrey,Carretera Nacional,6,7,"56,0","0,0000"
Mexico,2024-03-01,10,Monterrey,MTY_Apodaca_Huinalá,5,5,"49,9","0,0000"
Mexico,2024-03-01,10,Monterrey,San Nicolás,13,15,"57,2","0,0000"
Mexico,2024-03-01,10,Monterrey,Santa Catarina,7,9,"49,4","0,0000"
Mexico,2024-03-01,10,Monterrey,San Pedro,13,15,"53,8","0,0000"
Mexico,2024-03-01,10,Monterrey,Cumbres Poniente,13,10,"58,5","0,0000"
Mexico,2024-03-01,10,Monterrey,La Fe,7,8,"53,5","0,0000"
Mexico,2024-03-01,10,Monterrey,MTY_Guadalupe,9,12,"49,3","0,0000"
Mexico,2024-03-01,10,Monterrey,Independencia,8,9,"51,0","0,0000"
Mexico,2024-03-01,10,Monterrey,Santiago,6,5,"56,9","0,0000"
Mexico,2024-03-01,11,Monterrey,Centro,17,15,"52,2","0,0000"
Mexico,2024-03-01,11,Monterrey,Mitras Centro,14,12,"58,8","0,0000"
Mexico,2024-03-01,11,Monterrey,Apodaca Centro,9,11,"55,5","0,0000"
Mexico,2024-03-01,11,Monterrey,Escobedo,7,9,"53,8","0,0000"
Mexico,2024-03-01,11,Monterrey,Carretera Nacional,7,7,"58,6","0,0000"
Mexico,2024-03-01,11,Monterrey,MTY_Apodaca_Huinalá,4,5,"49,2","0,0000"
Mexico,2024-03-01,11,Monterrey,San Nicolás,12,16,"50,5","0,0000"
Mexico,2024-03-01,11,Monterrey,Santa Catarina,7,10,"52,0","0,0000"
Mexico,2024-03-01,11,Monterrey,San Pedro,13,16,"52,0","0,0000"
Mexico,2024-03-01,11,Monterrey,Cumbres Poniente,8,12,"49,1","0,0000"
Mexico,2024-03-01,11,Monterrey,La Fe,9,8,"55,6","0,0000"
Mexico,2024-03-01,11,Monterrey,MTY_Guadalupe,11,11,"53,2","0,0000"
Mexico,2024-03-01,11,Monterrey,Independencia,8,9,"49,9","0,0000"
Mexico,2024-03-01,11,Monterrey,Santiago,5,5,"52,9","0,0000"
Mexico,2024-03-01,12,Monterrey,Centro,23,37,"56,6","0,0000"
Mexico,2024-03-01,12,Monterrey,Mitras Centro,26,29,"72,5","0,0000"
Mexico,2024-03-01,12,Monterrey,Apodaca Centro,23,27,"75,0","0,0000"
Mexico,2024-03-01,12,Monterrey,Escobedo,13,19,"57,2","0,0000"
Mexico,2024-03-01,12,Monterrey,Carretera Nacional,14,18,"77,1","0,0000"
Mexico,2024-03-01,12,Monterrey,MTY_Apodaca_Huinalá,13,14,"76,6","0,0000"
Mexico,2024-03-01,12,Monterrey,San Nicolás,17,31,"52,2","0,0000"
Mexico,2024-03-01,12,Monterrey,Santa Catarina,19,25,"74,7","0,0000"
Mexico,2024-03-01,12,Monterrey,San Pedro,21,32,"52,9","0,0000"
Mexico,2024-03-01,12,Monterrey,Cumbres Poniente,22,25,"67,8","0,0000"
Mexico,2024-03-01,12,Monterrey,La Fe,19,20,"72,9","0,0000"
Mexico,2024-03-01,12,Monterrey,MTY_Guadalupe,14,33,"52,1","0,0000"
Mexico,2024-03-01,12,Monterrey,Independencia,15,25,"59,0","0,0000"
Mexico,2024-03-01,12,Monterrey,Santiago,9,13,"57,9","0,0000"
Mexico,2024-03-01,13,Monterrey,Centro,32,40,"68,2","0,0000"
Mexico,2024-03-01,13,Monterrey,Mitras Centro,26,30,"67,2","0,0000"
Mexico,2024-03-01,13,Monterrey,Apodaca Centro,26,23,"77,4","0,0000"
Mexico,2024-03-01,13,Monterrey,Escobedo,12,19,"54,2","0,0000"
Mexico,2024-03-01,13,Monterrey,Carretera Nacional,8,15,"54,6","0,0000"
Mexico,2024-03-01,13,Monterrey,MTY_Apodaca_Huinalá,6,14,"53,2","0,0000"
Mexico,2024-03-01,13,Monterrey,San Nicolás,18,31,"51,4","0,0000"
Mexico,2024-03-01,13,Monterrey,Santa Catarina,11,25,"55,2","0,0000"
Mexico,2024-03-01,13,Monterrey,San Pedro,25,39,"58,6","0,0000"
Mexico,2024-03-01,13,Monterrey,Cumbres Poniente,22,25,"71,5","0,0000"
Mexico,2024-03-01,13,Monterrey,La Fe,18,18,"69,4","0,0000"
Mexico,2024-03-01,13,Monterrey,MTY_Guadalupe,28,29,"73,5","0,0000"
Mexico,2024-03-01,13,Monterrey,Independencia,24,24,"76,7","0,0000"
Mexico,2024-03-01,13,Monterrey,Santiago,8,13,"56,1","0,0000"
Mexico,2024-03-01,14,Monterrey,Centro,23,46,"51,4","0,0000"
Mexico,2024-03-01,14,Monterrey,Mitras Centro,30,32,"73,8","0,0000"
Mexico,2024-03-01,14,Monterrey,Apodaca Centro,21,27,"75,6","0,0000"
Mexico,2024-03-01,14,Monterrey,Escobedo,20,18,"74,0","0,0000"
Mexico,2024-03-01,14,Monterrey,Carretera Nacional,14,15,"70,3","0,0000"
Mexico,2024-03-01,14,Monterrey,MTY_Apodaca_Huinalá,7,14,"50,4","0,0000"
Mexico,2024-03-01,14,Monterrey,San Nicolás,24,33,"67,2","0,0000"
Mexico,2024-03-01,14,Monterrey,Santa Catarina,20,22,"70,0","0,0000"
Mexico,2024-03-01,14,Monterrey,San Pedro,20,32,"56,2","0,0000"
Mexico,2024-03-01,14,Monterrey,Cumbres Poniente,23,26,"77,5","0,0000"
Mexico,2024-03-01,14,Monterrey,La Fe,11,23,"53,6","0,0000"
Mexico,2024-03-01,14,Monterrey,MTY_Guadalupe,21,32,"69,3","0,0000"
Mexico,2024-03-01,14,Monterrey,Independencia,21,26,"77,7","0,0000"
Mexico,2024-03-01,14,Monterrey,Santiago,8,11,"56,8","0,0000"
Mexico,2024-03-01,15,Monterrey,Centro,18,12,"57,8","0,0000"
Mexico,2024-03-01,15,Monterrey,Mitras Centro,10,9,"53,7","0,0000"
Mexico,2024-03-01,15,Monterrey,Apodaca Centro,10,7,"52,0","0,0000"
Mexico,2024-03-01,15,Monterrey,Escobedo,7,6,"49,8","0,0000"
Mexico,2024-03-01,15,Monterrey,Carretera Nacional,7,5,"56,6","0,0000"
Mexico,2024-03-01,15,Monterrey,MTY_Apodaca_Huinalá,4,4,"50,2","0,0000"
Mexico,2024-03-01,15,Monterrey,San Nicolás,14,11,"55,8","0,0000"
Mexico,2024-03-01,15,Monterrey,Santa Catarina,7,6,"52,9","0,0000"
Mexico,2024-03-01,15,Monterrey,San Pedro,15,12,"55,2","0,0000"
Mexico,2024-03-01,15,Monterrey,Cumbres Poniente,9,9,"50,2","0,0000"
Mexico,2024-03-01,15,Monterrey,La Fe,9,7,"56,8","0,0000"
Mexico,2024-03-01,15,Monterrey,MTY_Guadalupe,11,10,"58,0","0,0000"
Mexico,2024-03-01,15,Monterrey,Independencia,9,7,"54,0","0,0000"
Mexico,2024-03-01,15,Monterrey,Santiago,4,3,"49,7","0,0000"
Mexico,2024-03-01,16,Monterrey,Centro,19,13,"57,7","0,0000"
Mexico,2024-03-01,16,Monterrey,Mitras Centro,12,11,"51,5","0,0000"
Mexico,2024-03-01,16,Monterrey,Apodaca Centro,9,7,"56,5","0,0000"
Mexico,2024-03-01,16,Monterrey,Escobedo,9,7,"58,6","0,0000"
Mexico,2024-03-01,16,Monterrey,Carretera Nacional,7,4,"53,1","0,0000"
Mexico,2024-03-01,16,Monterrey,MTY_Apodaca_Huinalá,5,4,"53,8","0,0000"
Mexico,2024-03-01,16,Monterrey,San Nicolás,15,10,"55,5","0,0000"
Mexico,2024-03-01,16,Monterrey,Santa Catarina,8,7,"57,1","0,0000"
Mexico,2024-03-01,16,Monterrey,San Pedro,13,12,"54,4","0,0000"
Mexico,2024-03-01,16,Monterrey,Cumbres Poniente,10,7,"53,0","0,0000"
Mexico,2024-03-01,16,Monterrey,La Fe,8,6,"51,8","0,0000"
Mexico,2024-03-01,16,Monterrey,MTY_Guadalupe,13,9,"59,7","0,0000"
Mexico,2024-03-01,16,Monterrey,Independencia,10,7,"58,1","0,0000"
Mexico,2024-03-01,16,Monterrey,Santiago,4,3,"50,8","0,0000"
Mexico,2024-03-01,17,Monterrey,Centro,20,14,"58,3","0,0000"
Mexico,2024-03-01,17,Monterrey,Mitras Centro,9,8,"50,2","0,0000"
Mexico,2024-03-01,17,Monterrey,Apodaca Centro,7,8,"49,4","0,0000"
Mexico,2024-03-01,17,Monterrey,Escobedo,7,6,"54,6","0,0000"
Mexico,2024-03-01,17,Monterrey,Carretera Nacional,6,5,"54,0","0,0000"
Mexico,2024-03-01,17,Monterrey,MTY_Apodaca_Huinalá,4,4,"49,3","0,0000"
Mexico,2024-03-01,17,Monterrey,San Nicolás,13,11,"59,7","0,0000"
Mexico,2024-03-01,17,Monterrey,Santa Catarina,8,8,"50,9","0,0000"
Mexico,2024-03-01,17,Monterrey,San Pedro,14,12,"54,5","0,0000"
Mexico,2024-03-01,17,Monterrey,Cumbres Poniente,12,9,"59,2","0,0000"
Mexico,2024-03-01,17,Monterrey,La Fe,8,6,"53,3","0,0000"
Mexico,2024-03-01,17,Monterrey,MTY_Guadalupe,13,10,"57,6","0,0000"
Mexico,2024-03-01,17,Monterrey,Independencia,9,8,"52,6","0,0000"
Mexico,2024-03-01,17,Monterrey,Santiago,5,3,"53,8","0,0000"
Mexico,2024-03-01,18,Monterrey,Centro,17,13,"56,7","0,0000"
Mexico,2024-03-01,18,Monterrey,Mitras Centro,9,10,"51,5","0,0000"
Mexico,2024-03-01,18,Monterrey,Apodaca Centro,9,9,"54,1","0,0000"
Mexico,2024-03-01,18,Monterrey,Escobedo,6,6,"49,3","0,0000"
Mexico,2024-03-01,18,Monterrey,Carretera Nacional,6,5,"54,9","0,0000"
Mexico,2024-03-01,18,Monterrey,MTY_Apodaca_Huinalá,5,3,"59,5","0,0000"
Mexico,2024-03-01,18,Monterrey,San Nicolás,13,12,"59,2","0,0000"
Mexico,2024-03-01,18,Monterrey,Santa Catarina,8,6,"54,3","0,0000"
Mexico,2024-03-01,18,Monterrey,San Pedro,13,12,"54,9","0,0000"
Mexico,2024-03-01,18,Monterrey,Cumbres Poniente,9,7,"53,5","0,0000"
Mexico,2024-03-01,18,Monterrey,La Fe,8,6,"54,8","0,0000"
Mexico,2024-03-01,18,Monterrey,MTY_Guadalupe,13,10,"59,6","0,0000"
Mexico,2024-03-01,18,Monterrey,Independencia,11,7,"56,0","0,0000"
Mexico,2024-03-01,18,Monterrey,Santiago,4,4,"51,5","0,0000"
Mexico,2024-03-01,19,Monterrey,Centro,24,38,"52,5","0,0000"
Mexico,2024-03-01,19,Monterrey,Mitras Centro,17,26,"54,1","0,0000"
Mexico,2024-03-01,19,Monterrey,Apodaca Centro,18,24,"68,1","0,0000"
Mexico,2024-03-01,19,Monterrey,Escobedo,18,19,"71,3","0,0000"
Mexico,2024-03-01,19,Monterrey,Carretera Nacional,15,17,"74,9","0,0000"
Mexico,2024-03-01,19,Monterrey,MTY_Apodaca_Huinalá,9,13,"67,9","0,0000"
Mexico,2024-03-01,19,Monterrey,San Nicolás,25,31,"70,9","0,0000"
Mexico,2024-03-01,19,Monterrey,Santa Catarina,13,20,"55,9","0,0000"
Mexico,2024-03-01,19,Monterrey,San Pedro,21,36,"56,0","0,0000"
Mexico,2024-03-01,19,Monterrey,Cumbres Poniente,23,26,"77,5","0,0000"
Mexico,2024-03-01,19,Monterrey,La Fe,19,18,"72,0","0,0000"
Mexico,2024-03-01,19,Monterrey,MTY_Guadalupe,15,25,"52,1","0,0000"
Mexico,2024-03-01,19,Monterrey,Independencia,19,23,"73,9","0,0000"
Mexico,2024-03-01,19,Monterrey,Santiago,7,11,"56,4","0,0000"
Mexico,2024-03-01,20,Monterrey,Centro,23,38,"55,0","0,0000"
Mexico,2024-03-01,20,Monterrey,Mitras Centro,28,32,"77,1","0,0000"
Mexico,2024-03-01,20,Monterrey,Apodaca Centro,14,23,"51,0","0,0000"
Mexico,2024-03-01,20,Monterrey,Escobedo,16,17,"67,9","0,0000"
Mexico,2024-03-01,20,Monterrey,Carretera Nacional,10,14,"55,8","0,0000"
Mexico,2024-03-01,20,Monterrey,MTY_Apodaca_Huinalá,7,11,"51,6","0,0000"
Mexico,2024-03-01,20,Monterrey,San Nicolás,23,35,"67,3","0,0000"
Mexico,2024-03-01,20,Monterrey,Santa Catarina,18,20,"70,4","0,0000"
Mexico,2024-03-01,20,Monterrey,San Pedro,33,30,"73,8","0,0000"
Mexico,2024-03-01,20,Monterrey,Cumbres Poniente,14,27,"50,5","0,0000"
Mexico,2024-03-01,20,Monterrey,La Fe,15,20,"70,3","0,0000"
Mexico,2024-03-01,20,Monterrey,MTY_Guadalupe,19,27,"57,3","0,0000"
Mexico,2024-03-01,20,Monterrey,Independencia,21,21,"68,4","0,0000"
Mexico,2024-03-01,20,Monterrey,Santiago,13,12,"76,1","0,0000"
Mexico,2024-03-01,21,Monterrey,Centro,25,36,"54,3","0,4000"
Mexico,2024-03-01,21,Monterrey,Mitras Centro,14,32,"52,1","0,4000"
Mexico,2024-03-01,21,Monterrey,Apodaca Centro,15,26,"56,9","0,4000"
Mexico,2024-03-01,21,Monterrey,Escobedo,10,20,"53,4","0,4000"
Mexico,2024-03-01,21,Monterrey,Carretera Nacional,9,17,"55,6","0,4000"
Mexico,2024-03-01,21,Monterrey,MTY_Apodaca_Huinalá,8,11,"58,2","0,4000"
Mexico,2024-03-01,21,Monterrey,San Nicolás,21,35,"57,7","0,4000"
Mexico,2024-03-01,21,Monterrey,Santa Catarina,11,19,"52,6","0,4000"
Mexico,2024-03-01,21,Monterrey,San Pedro,20,30,"58,1","0,4000"
Mexico,2024-03-01,21,Monterrey,Cumbres Poniente,12,28,"52,6","0,4000"
Mexico,2024-03-01,21,Monterrey,La Fe,11,21,"54,7","0,4000"
Mexico,2024-03-01,21,Monterrey,MTY_Guadalupe,14,30,"53,6","0,4000"
Mexico,2024-03-01,21,Monterrey,Independencia,11,25,"52,2","0,4000"
Mexico,2024-03-01,21,Monterrey,Santiago,7,11,"57,6","0,4000"
Mexico,2024-03-01,22,Monterrey,Centro,17,14,"56,1","0,0000"
Mexico,2024-03-01,22,Monterrey,Mitras Centro,13,12,"57,2","0,0000"
Mexico,2024-03-01,22,Monterrey,Apodaca Centro,10,9,"59,2","0,0000"
Mexico,2024-03-01,22,Monterrey,Escobedo,9,7,"55,7","0,0000"
Mexico,2024-03-01,22,Monterrey,Carretera Nacional,7,6,"58,8","0,0000"
Mexico,2024-03-01,22,Monterrey,MTY_Apodaca_Huinalá,6,4,"58,3","0,0000"
Mexico,2024-03-01,22,Monterrey,San Nicolás,15,13,"58,3","0,0000"
Mexico,2024-03-01,22,Monterrey,Santa Catarina,10,9,"55,0","0,0000"
Mexico,2024-03-01,22,Monterrey,San Pedro,14,14,"58,0","0,0000"
Mexico,2024-03-01,22,Monterrey,Cumbres Poniente,11,10,"55,0","0,0000"
Mexico,2024-03-01,22,Monterrey,La Fe,9,8,"56,6","0,0000"
Mexico,2024-03-01,22,Monterrey,MTY_Guadalupe,10,11,"54,1","0,0000"
Mexico,2024-03-01,22,Monterrey,Independencia,9,9,"57,8","0,0000"
Mexico,2024-03-01,22,Monterrey,Santiago,4,5,"51,1","0,0000"
Mexico,2024-03-01,23,Monterrey,Centro,6,2,"50,6","0,0000"
Mexico,2024-03-01,23,Monterrey,Mitras Centro,6,1,"58,7","0,0000"
